Include	Color	Pos	Name	Cp	Concentration	Standard	Status
True	255	G14	Sample 158	20.04		0	
True	255	G15	Sample 159	20.46		0	
True	255	G16	Sample 160	20.71		0	
True	255	G17	Sample 161	22.01		0	
True	255	G18	Sample 162	19.82		0	
True	255	G19	Sample 163	19.53		0	
True	255	G20	Sample 164	20.21		0	
True	255	G21	Sample 165	20.82		0	
True	255	G22	Sample 166	19.91		0	
True	255	G23	Sample 167	20.64		0	
True	255	G24	Sample 168	23.44		0	
True	255	H1	Sample 169	29.61		0	
True	255	H2	Sample 170	29.16		0	
True	255	H3	Sample 171	29.81		0	
True	255	H4	Sample 172	29.85		0	
True	255	H5	Sample 173	29.49		0	
True	255	H6	Sample 174	30.78		0	
True	255	H7	Sample 175	29.25		0	
True	255	H8	Sample 176	29.75		0	
True	255	H9	Sample 177	29.85		0	
True	255	H10	Sample 178	30.27		0	
True	255	H11	Sample 179	29.89		0	
True	255	H12	Sample 180	30.46		0	
True	255	H13	Sample 181	19.93		0	
True	255	H14	Sample 182	19.99		0	
True	255	H15	Sample 183	20.48		0	
True	255	H16	Sample 184	20.73		0	
True	255	H17	Sample 185	22.04		0	
True	255	H18	Sample 186	19.83		0	
True	255	H19	Sample 187	19.53		0	
True	255	H20	Sample 188	20.19		0	
True	255	H21	Sample 189	20.84		0	
True	255	H22	Sample 190	19.94		0	
True	255	H23	Sample 191	20.68		0	
True	255	H24	Sample 192	23.34		0	
True	255	I1	Sample 193	29.75		0	
True	255	I2	Sample 194	29.67		0	
True	255	I3	Sample 195	30.89		0	
True	255	I4	Sample 196	29.20		0	
True	255	I5	Sample 197	30.04		0	
True	255	I6	Sample 198	29.73		0	
True	255	I7	Sample 199	29.60		0	
True	255	I8	Sample 200	29.94		0	
True	255	I9	Sample 201	29.76		0	
True	255	I10	Sample 202	29.32		0	
True	255	I11	Sample 203	30.00		0	
True	255	I12	Sample 204	29.30		0	
True	255	I13	Sample 205	19.92		0	
True	255	I14	Sample 206	20.05		0	
True	255	I15	Sample 207	20.47		0	
True	255	I16	Sample 208	20.73		0	
True	255	I17	Sample 209	21.92		0	
True	255	I18	Sample 210	19.83		0	
True	255	I19	Sample 211	19.54		0	
True	255	I20	Sample 212	20.15		0	
True	255	I21	Sample 213	20.84		0	
True	255	I22	Sample 214	19.91		0	
True	255	I23	Sample 215	20.61		0	
True	255	I24	Sample 216	23.45		0	
True	255	J1	Sample 217	23.67		0	
True	255	J2	Sample 218	23.89		0	
True	255	J3	Sample 219	25.31		0	
True	255	J4	Sample 220	24.93		0	
True	255	J5	Sample 221	26.11		0	
True	255	J6	Sample 222	23.75		0	
True	255	J7	Sample 223	23.28		0	
True	255	J8	Sample 224	24.20		0	
True	255	J9	Sample 225	24.91		0	
True	255	J10	Sample 226	24.15		0	
True	255	J11	Sample 227	24.96		0	
True	255	J12	Sample 228	27.86		0	
True	255	J13	Sample 229	27.58		0	
True	255	J14	Sample 230	26.85		0	
True	255	J15	Sample 231	27.28		0	
True	255	J16	Sample 232	28.20		0	
True	255	J17	Sample 233	29.02		0	
True	255	J18	Sample 234	26.96		0	
True	255	J19	Sample 235	27.46		0	
True	255	J20	Sample 236	28.20		0	
True	255	J21	Sample 237	29.14		0	
True	255	J22	Sample 238	27.96		0	
True	255	J23	Sample 239	29.23		0	
True	255	J24	Sample 240	31.47		0	
True	255	K1	Sample 241	23.58		0	
True	255	K2	Sample 242	23.85		0	
True	255	K3	Sample 243	25.42		0	
True	255	K4	Sample 244	24.88		0	
True	255	K5	Sample 245	26.18		0	
True	255	K6	Sample 246	23.78		0	
True	255	K7	Sample 247	23.23		0	
True	255	K8	Sample 248	24.21		0	
True	255	K9	Sample 249	24.92		0	
True	255	K10	Sample 250	24.16		0	
True	255	K11	Sample 251	25.07		0	
True	255	K12	Sample 252	27.73		0	
True	255	K13	Sample 253	27.23		0	
True	255	K14	Sample 254	27.31		0	
True	255	K15	Sample 255	27.44		0	
True	255	K16	Sample 256	27.90		0	
True	255	K17	Sample 257	29.11		0	
True	255	K18	Sample 258	27.13		0	
True	255	K19	Sample 259	27.60		0	
True	255	K20	Sample 260	28.33		0	
True	255	K21	Sample 261	28.67		0	
True	255	K22	Sample 262	28.08		0	
True	255	K23	Sample 263	29.47		0	
True	255	K24	Sample 264	31.56		0	
True	255	L1	Sample 265	23.70		0	
True	255	L2	Sample 266	23.85		0	
True	255	L3	Sample 267	25.42		0	
True	255	L4	Sample 268	24.93		0	
True	255	L5	Sample 269	26.21		0	
True	255	L6	Sample 270	23.76		0	
True	255	L7	Sample 271	23.26		0	
True	255	L8	Sample 272	24.28		0	
True	255	L9	Sample 273	24.94		0	
True	255	L10	Sample 274	24.10		0	
True	255	L11	Sample 275	25.07		0	
True	255	L12	Sample 276	28.10		0	
True	255	L13	Sample 277	27.15		0	
True	255	L14	Sample 278	27.69		0	
True	255	L15	Sample 279	27.59		0	
True	255	L16	Sample 280	28.17		0	
True	255	L17	Sample 281	28.82		0	
True	255	L18	Sample 282	27.23		0	
True	255	L19	Sample 283	27.48		0	
True	255	L20	Sample 284	28.21		0	
True	255	L21	Sample 285	28.78		0	
True	255	L22	Sample 286	28.14		0	
True	255	L23	Sample 287	29.25		0	
True	255	L24	Sample 288	31.15		0	
True	255	M1	Sample 289	24.52		0	
True	255	M2	Sample 290	24.74		0	
True	255	M3	Sample 291	25.34		0	
True	255	M4	Sample 292	25.16		0	
True	255	M5	Sample 293	25.91		0	
True	255	M6	Sample 294	24.34		0	
True	255	M7	Sample 295	24.68		0	
True	255	M8	Sample 296	25.87		0	
True	255	M9	Sample 297	25.84		0	
True	255	M10	Sample 298	24.86		0	
True	255	M11	Sample 299	26.82		0	
True	255	M12	Sample 300	29.27		0	
True	255	M13	Sample 301	20.27		0	
True	255	M14	Sample 302	20.64		0	
True	255	M15	Sample 303	21.01		0	
True	255	M16	Sample 304	21.53		0	
True	255	M17	Sample 305	22.78		0	
True	255	M18	Sample 306	20.24		0	
True	255	M19	Sample 307	19.80		0	
True	255	M20	Sample 308	20.89		0	
True	255	M21	Sample 309	21.67		0	
True	255	M22	Sample 310	20.66		0	
True	255	M23	Sample 311	21.54		0	
True	255	M24	Sample 312	24.35		0	
True	255	N1	Sample 313	24.51		0	
True	255	N2	Sample 314	24.72		0	
True	255	N3	Sample 315	25.24		0	
True	255	N4	Sample 316	25.16		0	
True	255	N5	Sample 317	25.98		0	
True	255	N6	Sample 318	24.43		0	
True	255	N7	Sample 319	24.69		0	
True	255	N8	Sample 320	25.93		0	
True	255	N9	Sample 321	25.73		0	
True	255	N10	Sample 322	24.85		0	
True	255	N11	Sample 323	26.88		0	
True	255	N12	Sample 324	29.52		0	
True	255	N13	Sample 325	20.22		0	
True	255	N14	Sample 326	20.65		0	
True	255	N15	Sample 327	21.03		0	
True	255	N16	Sample 328	21.58		0	
True	255	N17	Sample 329	22.80		0	
True	255	N18	Sample 330	20.25		0	
True	255	N19	Sample 331	19.84		0	
True	255	N20	Sample 332	20.88		0	
True	255	N21	Sample 333	21.77		0	
True	255	N22	Sample 334	20.60		0	
True	255	N23	Sample 335	21.57		0	
True	255	N24	Sample 336	24.29		0	
True	255	O1	Sample 337	24.55		0	
True	255	O2	Sample 338	24.70		0	
True	255	O3	Sample 339	25.26		0	
True	255	O4	Sample 340	25.15		0	
True	255	O5	Sample 341	25.90		0	
True	255	O6	Sample 342	24.33		0	
True	255	O7	Sample 343	24.60		0	
True	255	O8	Sample 344	25.94		0	
True	255	O9	Sample 345	25.80		0	
True	255	O10	Sample 346	24.85		0	
True	255	O11	Sample 347	27.03		0	
True	255	O12	Sample 348	29.06		0	
True	255	O13	Sample 349	20.32		0	
True	255	O14	Sample 350	20.64		0	
True	255	O15	Sample 351	21.05		0	
True	255	O16	Sample 352	21.55		0	
True	255	O17	Sample 353	22.81		0	
True	255	O18	Sample 354	20.28		0	
True	255	O19	Sample 355	19.88		0	
True	255	O20	Sample 356	20.90		0	
True	255	O21	Sample 357	21.74		0	
True	255	O22	Sample 358	20.68		0	
True	255	O23	Sample 359	21.57		0	
True	255	O24	Sample 360	24.48		0	
True	65280	P1	Sample 361			0	
True	65280	P2	Sample 362			0	
True	255	P3	Sample 363	24.61		0	
True	65280	P4	Sample 364			0	
True	65280	P5	Sample 365			0	
True	16711680	P6	Sample 366	25.51		0	? - Detector Call uncertain
True	255	P7	Sample 367	24.43		0	
True	255	P8	Sample 368	27.08		0	
True	65280	P9	Sample 369			0	
True	65280	P10	Sample 370			0	
True	65280	P11	Sample 371			0	
True	65280	P12	Sample 372			0	
True	65280	P13	Sample 373			0	
True	65280	P14	Sample 374			0	
True	65280	P15	Sample 375			0	
True	65280	P16	Sample 376			0	
True	65280	P17	Sample 377			0	
True	65280	P18	Sample 378			0	
True	65280	P19	Sample 379			0	
True	65280	P20	Sample 380			0	
True	65280	P21	Sample 381			0	
True	65280	P22	Sample 382			0	
True	65280	P23	Sample 383			0	
True	65280	P24	Sample 384			0	
